,ibns_20u,vgs_m1,name,type,time,OK
0,20.17136,0.6866758,tran_SchGtKttmmTtVt_29,Sch,Thu Jan 16 13:32:21 2025,True
1,20.603710000000003,0.6853442,tran_SchGtKttmmTtVt_28,Sch,Thu Jan 16 13:32:21 2025,True
2,22.65415,0.6893196,tran_SchGtKttmmTtVt_27,Sch,Thu Jan 16 13:32:21 2025,True
3,20.92989,0.6865614,tran_SchGtKttmmTtVt_26,Sch,Thu Jan 16 13:32:21 2025,True
4,20.76047,0.6862613,tran_SchGtKttmmTtVt_25,Sch,Thu Jan 16 13:32:20 2025,True
5,20.34858,0.6848764,tran_SchGtKttmmTtVt_24,Sch,Thu Jan 16 13:32:20 2025,True
6,20.80122,0.6859285,tran_SchGtKttmmTtVt_23,Sch,Thu Jan 16 13:32:20 2025,True
7,20.76751,0.6861569,tran_SchGtKttmmTtVt_22,Sch,Thu Jan 16 13:32:20 2025,True
8,20.58288,0.6853703,tran_SchGtKttmmTtVt_21,Sch,Thu Jan 16 13:32:20 2025,True
9,20.86239,0.6884126,tran_SchGtKttmmTtVt_20,Sch,Thu Jan 16 13:32:20 2025,True
10,19.41147,0.6812538,tran_SchGtKttmmTtVt_19,Sch,Thu Jan 16 13:32:19 2025,True
11,21.00076,0.6859685,tran_SchGtKttmmTtVt_18,Sch,Thu Jan 16 13:32:19 2025,True
12,19.502930000000003,0.6834756,tran_SchGtKttmmTtVt_17,Sch,Thu Jan 16 13:32:19 2025,True
13,20.53771,0.6855935,tran_SchGtKttmmTtVt_16,Sch,Thu Jan 16 13:32:19 2025,True
14,20.479570000000002,0.685911,tran_SchGtKttmmTtVt_15,Sch,Thu Jan 16 13:32:19 2025,True
15,19.84262,0.6846382,tran_SchGtKttmmTtVt_14,Sch,Thu Jan 16 13:32:19 2025,True
16,20.2889,0.6864519,tran_SchGtKttmmTtVt_13,Sch,Thu Jan 16 13:32:19 2025,True
17,19.2804,0.6832116,tran_SchGtKttmmTtVt_12,Sch,Thu Jan 16 13:32:18 2025,True
18,20.02734,0.6863107,tran_SchGtKttmmTtVt_11,Sch,Thu Jan 16 13:32:18 2025,True
19,21.52362,0.6886758,tran_SchGtKttmmTtVt_10,Sch,Thu Jan 16 13:32:18 2025,True
20,20.50757,0.6840982,tran_SchGtKttmmTtVt_9,Sch,Thu Jan 16 13:32:18 2025,True
21,21.34541,0.6878163,tran_SchGtKttmmTtVt_8,Sch,Thu Jan 16 13:32:18 2025,True
22,19.62941,0.6825175,tran_SchGtKttmmTtVt_7,Sch,Thu Jan 16 13:32:18 2025,True
23,20.849719999999998,0.6852756,tran_SchGtKttmmTtVt_6,Sch,Thu Jan 16 13:32:17 2025,True
24,20.48894,0.6861274,tran_SchGtKttmmTtVt_5,Sch,Thu Jan 16 13:32:17 2025,True
25,22.36225,0.6931525,tran_SchGtKttmmTtVt_4,Sch,Thu Jan 16 13:32:17 2025,True
26,20.54983,0.6850364,tran_SchGtKttmmTtVt_3,Sch,Thu Jan 16 13:32:17 2025,True
27,21.15274,0.6861003,tran_SchGtKttmmTtVt_2,Sch,Thu Jan 16 13:32:17 2025,True
28,20.20642,0.6831806,tran_SchGtKttmmTtVt_1,Sch,Thu Jan 16 13:32:17 2025,True
29,21.3857,0.6870414,tran_SchGtKttmmTtVt,Sch,Thu Jan 16 13:32:17 2025,True
